Site,label_metal,E_ads,max_d_CO,min_d_CO,OCO_ang,PE_h,IP_h,EA_h,rs_h,rp_h,rd_h,rval_h,bulk_nnd,PE_sa,IP_sa,EA_sa,rs_sa,rp_sa,rd_sa,rval_sa,PE_site,IP_site,EA_site,PE_snn,IP_snn,EA_snn,CN,gen_CN,site_no
Cu_110_Os_sub_OCO_short_SA-C,1,-1.21746,0.1134,0.0648,136.12,1.9,7.726,1.228,1.1989,0,0.3191,1.1989,2.529,2.2,8.7,1.1,1.3127,0,0.7191,0.7191,2.05,8.213,1.164,1.925,7.8072,1.2173,5.0,5.7778,2
Cu_110_Pd_sub_OCO_hollow_3at_SA-C,1,-0.05496,0.0807,0.0773,133.19,1.9,7.726,1.228,1.1989,0,0.3191,1.1989,2.529,2.2,8.337,0.557,1.4075,0,0.5806,0.5806,2.0,7.9297,1.0043,1.9167,7.7599,1.1907,5.0,5.8462,3
Cu_110_Pd_sub_OCO_long_SA-C,1,-0.08027,0.0755,0.0473,138.81,1.9,7.726,1.228,1.1989,0,0.3191,1.1989,2.529,2.2,8.337,0.557,1.4075,0,0.5806,0.5806,2.05,8.0315,0.8925,1.9214,7.7696,1.1801,6.0,5.9,2
Cu_110_Pd_sub_OCO_short_SA-C,1,-0.11760,0.0689,0.0386,143.1,1.9,7.726,1.228,1.1989,0,0.3191,1.1989,2.529,2.2,8.337,0.557,1.4075,0,0.5806,0.5806,2.05,8.0315,0.8925,1.925,7.7769,1.1721,5.0,5.7778,2
Cu_110_Pt_sub_OCO_long_SA-C,1,-0.32001,0.0978,0.0523,133.38,1.9,7.726,1.228,1.1989,0,0.3191,1.1989,2.529,2.28,9.0,2.128,1.2686,0,0.6705,0.6705,2.09,8.363,1.678,1.9271,7.817,1.2923,6.0,5.9,2
Cu_110_Pt_sub_OCO_hollow_3at_SA-C,1,-0.33413,0.0943,0.0926,128.18,1.9,7.726,1.228,1.1989,0,0.3191,1.1989,2.529,2.28,9.0,2.128,1.2686,0,0.6705,0.6705,2.0267,8.1507,1.528,1.9211,7.7968,1.278,5.0,5.8462,3
Cu_110_Pt_sub_OCO_short_SA-C,1,-0.29982,0.0907,0.0458,136.82,1.9,7.726,1.228,1.1989,0,0.3191,1.1989,2.529,2.28,9.0,2.128,1.2686,0,0.6705,0.6705,2.09,8.363,1.678,1.9317,7.8322,1.303,5.0,5.7778,2
Cu_110_Pt_sub_OCO_ontop_SA-C,1,-0.01053,0.0469,0.0469,146.02,1.9,7.726,1.228,1.1989,0,0.3191,1.1989,2.529,2.28,9.0,2.128,1.2686,0,0.6705,0.6705,2.28,9.0,2.128,1.9475,7.8853,1.3405,7.0,5.8333,1
Cu_110_Rh_sub_OCO_hollow_3at_SA-C,1,-0.58693,0.1024,0.0995,127.24,1.9,7.726,1.228,1.1989,0,0.3191,1.1989,2.529,2.28,7.459,1.137,1.4462,0,0.613,0.613,2.0267,7.637,1.1977,1.9211,7.7112,1.2229,5.0,5.8462,3
Cu_110_Rh_sub_OCO_long_SA-C,1,-0.59151,0.0842,0.0757,134.58,1.9,7.726,1.228,1.1989,0,0.3191,1.1989,2.529,2.28,7.459,1.137,1.4462,0,0.613,0.613,2.09,7.5925,1.1825,1.9271,7.7069,1.2215,6.0,5.9,2
Cu_110_Rh_sub_OCO_ontop_SA-C,1,-0.21647,0.047,0.0469,148.75,1.9,7.726,1.228,1.1989,0,0.3191,1.1989,2.529,2.28,7.459,1.137,1.4462,0,0.613,0.613,2.28,7.459,1.137,1.9475,7.6926,1.2166,7.0,5.8333,1
Cu_110_Rh_sub_OCO_short_SA-C,1,-0.59321,0.075,0.0674,138.96,1.9,7.726,1.228,1.1989,0,0.3191,1.1989,2.529,2.28,7.459,1.137,1.4462,0,0.613,0.613,2.09,7.5925,1.1825,1.9317,7.7038,1.2204,5.0,5.7778,2
Cu_110_Ru_sub_OCO_long_SA-C,1,-0.95815,0.1041,0.0801,132.27,1.9,7.726,1.228,1.1989,0,0.3191,1.1989,2.529,2.2,7.361,1.05,1.4756,0,0.6473,0.6473,2.05,7.5435,1.139,1.9214,7.6999,1.2153,6.0,5.9,2
Cu_110_Ru_sub_OCO_hollow_3at_SA-O,1,-0.24907,0.1289,0.0897,124.04,1.9,7.726,1.228,1.1989,0,0.3191,1.1989,2.529,2.2,7.361,1.05,1.4756,0,0.6473,0.6473,2.0,7.6043,1.1687,1.9167,7.7057,1.2181,5.0,5.8462,3
